id,surprisal,entropy,deviation,tokens
83,"[11.00490037 10.27935982  7.83038235  3.89524245  5.01994181  7.56155539
  0.61675799  7.08513737  4.57754612]","[6.00220966 7.48309994 5.3483448  5.31471348 4.98060656 4.72530365
 2.56141853 2.18984509 6.64654636]","[ 1.02281475  2.79625988  2.48203754 -1.41947103  0.03933525  2.83625174
 -1.94466054  4.89529228 -2.06900024]",['Claudia' 'still' 'teaches' 'and' 'still' 'claims' 'to' 'hate' 'it']
84,"[9.40277863 8.69971371 7.21899664 5.86362391 2.87792683 1.37946141
 1.41874337 0.46506381 5.84403181]","[6.00220966 4.02235699 3.6231463  6.35604143 4.95805645 3.28651977
 4.16189384 2.08497381 4.28234196]","[ 3.40056896  4.67735672  2.24535155 -0.49302435 -2.08012962 -1.90705836
 -2.74315047 -1.61991     1.56168985]","['Burn' 'him' 'now,' ""don't"" 'wait' 'for' 'him' 'to' 'escape']"
85,"[6.68078488 7.3413105  2.61834264 5.39953756 5.77351236 0.6956988
 4.02476597 5.6941309  5.90347147]","[6.00220966 5.40197992 4.6438303  5.96469498 4.28123236 3.367167
 4.27584839 1.60696387 5.85424805]","[ 0.24596691  1.93933058 -2.02548766 -0.56515741  1.49228001 -2.67146826
 -0.25108242  4.08716679  0.04922342]","[""Don't"" 'die' 'of' 'cold' 'before' 'you' 'die' 'in' 'battle']"
86,"[8.1355896  8.02831501 4.27051544 1.5892055  3.26910853 7.87161756
 6.64384413 0.86494732 7.99998713]","[6.00220966 5.65973663 5.45685196 3.98880386 4.34838867 5.50395107
 4.53316927 2.71441507 3.58360219]","[ 2.13337994  1.64175558 -1.18633652 -2.39959836 -1.07928014 -0.80784655
  2.11067486 -1.84946775  4.4163847 ]","['Good' 'God,' 'if' 'you' 'are' 'watching,' 'give' 'me' 'strength']"
87,"[ 5.44237137 12.23716068  3.00110626  3.16946268  1.69668269  5.57151413
  2.312222    4.32607031  3.48483181]","[6.00220966 5.34631538 2.27266979 5.0406785  3.11970448 5.79290485
 2.15399599 6.90746689 4.3461628 ]","[-0.55983829  6.88901806  0.72843647 -1.87121582 -1.42302179 -0.22139072
  0.15822601 -2.58139658 -0.86133099]",['He' 'heaved' 'his' 'shoulders' 'and' 'swung' 'the' 'axe' 'again']
88,"[ 5.44237137  2.94031596  8.84136963  7.10779476  1.8326751  10.73133564
  1.50852132  3.84607387  8.36267853]","[6.00220966 5.34631538 5.61746073 5.75215721 2.90639544 5.36736822
 3.82760644 5.37006092 6.49154568]","[-0.55983829 -2.40599942  3.2239089   1.35563755 -1.07372034  5.36396742
 -2.31908512 -1.52398705  1.87113285]",['He' 'is' 'after' 'glory' 'and' 'heads' 'for' 'his' 'hall']
89,"[5.44237137 5.73453236 7.6365962  1.32926393 0.90383208 4.814641
 0.8338902  1.89941096 3.35843801]","[6.00220966 5.34631538 5.72132587 3.64321923 2.1099     5.22771692
 2.81855345 4.84546041 5.05244064]","[-0.55983829  0.38821697  1.91527033 -2.31395531 -1.20606792 -0.41307592
 -1.98466325 -2.94604945 -1.69400263]",['He' 'just' 'wished' 'he' 'could' 'talk' 'to' 'his' 'dad']
90,"[5.44237137 9.133111   5.0796876  4.97784138 4.04728699 1.16579092
 7.38469219 0.65083569 2.97253489]","[6.00220966 5.34631538 4.3030262  5.10485792 3.25123334 2.47983027
 5.73966026 1.88042247 3.38107681]","[-0.55983829  3.78679562  0.7766614  -0.12701654  0.79605365 -1.31403935
  1.64503193 -1.22958684 -0.40854192]",['He' 'lay' 'his' 'sword' 'aside' 'and' 'extended' 'his' 'hands']
91,"[5.44237137 8.60704899 1.74318576 4.28365612 2.66906571 0.71631294
 0.76230025 7.57368612 3.6007061 ]","[6.00220966 5.34631538 2.67809296 5.3641758  3.35572648 2.1395793
 1.85079336 6.36223602 4.68726635]","[-0.55983829  3.2607336  -0.9349072  -1.08051968 -0.68666077 -1.42326641
 -1.08849311  1.2114501  -1.08656025]",['He' 'sighed' 'and' 'walked' 'back' 'to' 'the' 'wood' 'shop']
92,"[5.44237137 7.46037769 3.63938761 2.65457106 6.27085686 1.49503493
 0.22719531 5.01192093 1.9889487 ]","[6.00220966 5.34631538 3.83513784 3.30909109 4.97483253 2.2022984
 1.03398097 4.94897175 3.07155085]","[-0.55983829  2.11406231 -0.19575024 -0.65452003  1.29602432 -0.70726347
 -0.80678564  0.06294918 -1.08260214]",['He' 'smiled' 'when' 'she' 'let' 'out' 'a' 'big' 'yawn']
93,"[5.44237137 2.39752269 9.2554245  1.37460256 2.74785972 3.6803925
 8.29223251 0.62668097 2.86053634]","[6.00220966 5.34631538 6.39564466 2.83673048 1.49434566 6.13415337
 3.38925123 2.6261425  1.63491428]","[-0.55983829 -2.9487927   2.85977983 -1.46212792  1.25351405 -2.45376086
  4.90298128 -1.99946153  1.22562206]",['He' 'was' 'leaning' 'against' 'his' 'truck' 'smoking' 'a' 'joint']
94,"[4.00246048 2.9617126  4.31899643 1.91786337 3.79121804 2.95609832
 7.22311068 3.77537584 2.95234728]","[6.00220966 4.9394846  5.82539177 2.61968517 5.36315727 3.94940281
 8.46481705 5.82546282 3.27791929]","[-1.99974918 -1.977772   -1.50639534 -0.7018218  -1.57193923 -0.99330449
 -1.24170637 -2.05008698 -0.32557201]",['I' 'was' 'thinking' 'of' 'getting' 'the' 'band' 'together' 'again']
95,"[3.98753715 2.09061241 2.52997565 9.25792122 8.82051551 6.14509583
 0.99496835 4.31827784 1.52921534]","[6.00220966 2.6268568  5.64704609 6.94799042 5.94935322 5.67685747
 2.75913119 3.50930119 6.50889397]","[-2.01467252 -0.53624439 -3.11707044  2.3099308   1.51593685  0.46823835
 -1.76416278  0.80897665 -4.97967863]","['It' 'is' 'a' 'narrow' 'ship,' 'much' 'like' 'our' 'own']"
96,"[10.14714813 11.96416187  1.6407944   8.87441635  2.25405264  9.72493267
  1.25784969  0.79918569  2.58153963]","[6.00220966 6.56853724 3.15200901 7.69770813 3.57161093 2.12973142
 4.29613209 2.33589387 4.85846901]","[ 4.14493847  5.39562464 -1.51121461  1.17670822 -1.31755829  7.59520149
 -3.03828239 -1.53670812 -2.27692938]",['Arthur' 'placed' 'the' 'bars' 'of' 'chocolate' 'on' 'the' 'counter']
97,"[ 6.85993576  9.74250984 10.79743767  1.53518343  4.40508461  5.62944794
  0.7041955   0.06844617  3.02344465]","[6.00220966 6.99720716 4.25258923 4.78702879 6.74757004 1.84108853
 2.21530294 0.34071422 3.72427249]","[ 0.8577261   2.74530268  6.54484844 -3.25184536 -2.34248543  3.7883594
 -1.51110744 -0.27226806 -0.70082784]",['John' 'gave' 'Bernard' 'a' 'hard' 'slap' 'on' 'the' 'head']
98,"[7.23939598 2.81614804 4.63319397 4.09272099 9.57968009 5.36014891
 0.83959538 0.99657732 1.23077893]","[6.00220966 4.64001656 3.77990675 2.2908349  4.85931206 4.40654802
 3.26575375 3.67851019 3.93792486]","[ 0.76976299 -1.82386851  0.85328722  1.80188608  3.67461967  0.95360088
 -2.42615843 -2.68193293 -2.70714593]","[""Let's"" 'get' 'out' 'and' ""I'll"" 'buy' 'you' 'a' 'drink']"
99,"[ 7.23939598  4.86972141  4.13947153 10.93226242  3.47571135  2.11122298
  4.48425341  1.86672616  7.33063793]","[6.00220966 4.64001656 1.98560727 7.62766933 3.26140094 3.62684321
 5.07401562 4.31007099 3.13085699]","[ 0.76976299  0.22970486  2.15386438  3.30459309  0.21431041 -1.51562023
 -0.58976221 -2.44334483  4.19978094]","[""Let's"" 'have' 'the' 'gates' 'closed' 'and' 'go' 'home' 'early']"
100,"[ 8.30759048 12.52798748  1.31303358  6.08017778  1.05919576  3.32360744
  1.89330733  5.42746687  0.9038648 ]","[6.00220966 6.29500294 2.51545572 4.80736876 3.43700504 3.11557865
 4.91813374 6.99601364 1.99470973]","[ 2.30538082  6.23298454 -1.20242214  1.27280903 -2.37780929  0.20802879
 -3.02482653 -1.56854677 -1.09084487]",['Andrew' 'closed' 'the' 'office' 'door' 'on' 'the' 'way' 'out']
101,"[ 9.16460419 11.75140095  5.10312843  1.98405254  4.32073545  5.28765011
  0.06285228  0.01194126  0.01631727]","[6.00220966 6.71673584 5.13559818 3.24461961 0.23258057 1.89577734
 0.41965094 0.08924522 0.10614266]","[ 3.16239452  5.03466511 -0.03246975 -1.26056707  4.08815479  3.39187288
 -0.35679865 -0.07730396 -0.08982539]",['Charles' 'felt' 'sick' 'to' 'the' 'pit' 'of' 'his' 'stomach']
102,"[ 9.32971191 14.38521361  2.1143465   5.90233803  3.93033123  3.14308929
  3.90922546  0.11862679  3.23057985]","[6.00220966 6.79796505 2.92887616 5.63522148 2.54952669 2.38496685
 1.33468997 0.62320977 2.8803153 ]","[ 3.32750225  6.96948338 -0.81452966  0.26711655  1.38080454  0.75812244
  2.57453537 -0.504583    0.35026455]","['Christopher' 'groaned' 'and' 'lay' 'his' 'hands' 'across' 'his'
 'stomach']"
103,"[ 8.13477325 11.14655495  5.80576563  1.27656829  0.0352484   3.38047385
  1.42487788  8.69334412  7.37128909]","[6.00220966 6.91052532 3.40377712 3.28538275 0.27875468 4.33664846
 2.95360351 5.53036213 5.39721394]","[ 2.13256359  4.23602962  2.40198851 -2.00881433 -0.24350628 -0.95617461
 -1.52872562  3.16298199  1.94546843]",['Dave' 'kicked' 'him' 'in' 'the' 'stomach' 'and' 'Paul' 'groaned']
104,"[12.51949281  9.30811119  1.62112677  4.68693256  4.61199474  5.57482719
  2.28225136  5.52865982  6.17080164]","[6.00220966 6.19819784 3.30514884 6.31881809 3.02535439 5.85657692
 4.039186   6.50698662 2.01884007]","[ 6.38550854  3.10991335 -1.68402207 -1.63188553  1.58664036 -0.28174973
 -1.75693464 -0.9783268   4.15196133]",['Dexter' 'opened' 'his' 'letter' 'and' 'found' 'a' 'photograph' 'inside']
105,"[10.57284379  6.43151855  1.8573637   4.85540295  1.19323266  7.85635567
  0.12455793  4.20639038  7.38629675]","[6.00220966 6.56510019 4.51388836 6.18327618 2.22935772 5.61309767
 0.83392006 5.37526083 4.6830616 ]","[ 3.04601574 -0.13358164 -2.65652466 -1.32787323 -1.03612506  2.243258
 -0.70936215 -1.16887045  2.70323515]",['Duncan' 'took' 'a' 'breath' 'and' 'wanted' 'to' 'be' 'sick']
106,"[ 9.57904816 16.8136692   0.85971087  0.71943843  2.0532093   8.1716283
  5.44273472  4.47967863  8.80846596]","[6.00220966 5.21605635 2.88202953 2.87046909 3.17868519 5.72155857
 2.80462575 2.82133627 2.65492201]","[ 3.57683849 11.59761238 -2.0223186  -2.15103054 -1.12547588  2.00287819
  2.63810897  1.65834236  6.15354395]",['Edward' 'washed' 'his' 'hands' 'and' 'flicked' 'water' 'at' 'Bob']
107,"[6.78607941 6.94478607 4.14155293 3.11562538 2.15056276 2.30364704
 1.83760369 2.69274139 3.75052238]","[6.00220966 5.32598066 4.46662617 4.65589523 4.85768223 4.77122021
 3.35275936 1.62857568 4.11881208]","[ 0.78386974  1.61880541 -0.32507324 -1.54026985 -2.70711946 -2.46757317
 -1.51515567  1.06416571 -0.36828971]",['She' 'turned' 'and' 'saw' 'him' 'standing' 'in' 'her' 'path']
108,"[ 6.16350937  7.20552635  7.77960777  5.94269943  1.69144845 11.1017046
  5.96190977  6.17992115  0.93078375]","[6.00220966 4.82969332 4.03706264 3.45565605 3.16994262 4.10751057
 6.3398962  2.96288538 2.05151868]","[ 0.16129971  2.37583303  3.74254513  2.48704338 -1.47849417  6.99419403
 -0.37798643  3.21703577 -1.12073493]",['They' 'turned' 'round' 'just' 'as' 'Frankie' 'walked' 'toward' 'them']
109,"[11.94860649  0.71908516  6.68785858  8.73564434  4.31000376  1.70085549
  4.18330574  1.53647304  4.93111897]","[6.00220966 3.23055649 8.09283066 3.68883467 6.10706806 4.98036909
 5.6904273  3.63661671 6.66215611]","[ 1.54444027 -2.51147127 -1.40497208  5.04680967 -1.7970643  -3.2795136
 -1.50712156 -2.10014367 -1.73103714]",['Underneath' 'the' 'table' 'her' 'hand' 'was' 'gripping' 'the' 'chair']
110,"[ 7.81021118 10.71581078 10.8698988   4.45934391  0.80378544  0.10282405
 12.11091805  4.15244482  3.23495626]","[6.00220966 3.06467199 6.06373405 3.93564701 3.39514947 0.84056938
 2.03022528 5.14689255 4.31943941]","[ 1.80800152  7.65113878  4.80616474  0.5236969  -2.59136391 -0.73774534
 10.08069229 -0.9949832  -1.08448315]","['Whether' 'Peter' 'heard' 'him' 'or' 'not' 'Gabriel' ""didn't"" 'care']"
111,"[4.83116913 7.80974054 2.12916231 1.54296255 7.81345844 2.1175642
 2.57714665 1.93109643 1.50908303]","[6.00220966 3.99792123 4.71704149 4.88960648 7.42595005 4.39363003
 3.0415163  4.69146538 2.4988327 ]","[-1.17104053  3.81181931 -2.58787918 -3.34664392  0.38750839 -2.27606583
 -2.34919548 -2.76036882 -0.98974967]","['You' 'give' 'me' 'a' 'lead' 'and' ""I'll"" 'follow' 'it']"
112,"[ 6.11440277  3.05662656 11.27181339  4.28677702  1.43377185 11.55633736
  5.77070332  1.97401035  7.05845356  4.80177879]","[6.00220966 7.21141052 7.94249725 4.51910162 6.17162037 8.11908913
 7.08480215 4.29151583 6.01432228 3.02698708]","[ 0.11219311 -4.1547842   3.32931614 -0.2323246  -4.73784828  3.43724823
 -1.31409883 -2.31750536  1.04413128  1.77479172]",['All' 'the' 'bowls' 'from' 'the' 'empty' 'tables' 'are' 'cleared' 'up']
113,"[7.17255402 7.98742056 2.20199394 1.58867931 5.74254131 4.95635509
 1.78425527 0.55493307 4.13606644 4.98494005]","[6.00220966 7.72174931 5.68232822 4.45863199 5.88945532 4.57197571
 3.1804595  1.60340393 5.86120987 5.03184795]","[ 1.17034435  0.26567125 -3.48033428 -2.86995268 -0.14691401  0.38437939
 -1.39620423 -1.04847085 -1.72514343 -0.0469079 ]",['His' 'dark' 'hair' 'was' 'just' 'visible' 'under' 'his' 'white' 'hat']
114,"[7.17255402 7.91971731 4.83043385 3.02598906 5.70051765 1.27103543
 3.98600054 2.56502652 3.33199525 6.83693218]","[6.00220966 7.72174931 5.61376905 5.44067478 5.42248631 3.8021822
 3.40153098 5.22800016 1.7581383  5.92447615]","[ 1.17034435  0.19796801 -0.78333521 -2.41468573  0.27803135 -2.53114676
  0.58446956 -2.66297364  1.57385695  0.91245604]",['His' 'men' 'will' 'not' 'follow' 'him' 'and' 'they' 'are' 'few']
115,"[8.61794376 6.53772449 6.73007107 4.50092697 2.26175594 0.278979
 1.46946135 5.67309952 3.78722215 6.68103504]","[6.00220966 4.56383181 2.08557034 6.28745413 3.97372103 1.22329962
 4.5472784  5.42309856 2.57290506 6.42328644]","[-1.99974918  1.97389269  4.64450073 -1.78652716 -1.71196508 -0.94432062
 -3.07824802  0.25000095  1.21431708  0.2577486 ]","[""I'll"" 'break' 'your' 'neck' 'if' 'you' ""don't"" 'fix' 'that' 'water']"
116,"[ 9.76194     9.31428337 10.52429676  1.43264675  4.28239727  4.70431614
  2.79752493  2.04286551  4.87798595  5.11925983]","[6.00220966 7.12513065 4.54936838 4.7013073  6.4008112  2.78675365
 2.26436019 0.49240962 3.70367384 2.50044131]","[ 3.75973034  2.18915272  5.97492838 -3.26866055 -2.11841393  1.91756248
  0.53316474  1.55045593  1.17431211  2.61881852]",['Ian' 'gave' 'Geoffrey' 'a' 'hard' 'slap' 'across' 'his' 'right' 'ear']
117,"[9.43777466 9.72179508 4.22188377 2.53462338 1.8379097  6.96404409
 4.47889745 4.91031647 0.87922657 5.97484159]","[6.00220966 6.91337442 3.47010183 1.91685247 3.52319407 5.56082296
 3.2535162  5.32365894 3.33620048 5.68254089]","[ 3.43556499  2.80842066  0.75178194  0.61777091 -1.68528438  1.40322113
 -0.11765051 -0.41334248 -2.45697403  0.2923007 ]","['Jake' 'smiled' 'again' 'at' 'his' 'baby' 'daughter,' 'she' 'was'
 'perfect']"
118,"[ 9.76441956 11.85730171  2.15662336  4.0446701   4.59269524  1.3089174
  5.82158852  1.08798778  6.005826  ]","[6.00220966 5.67813587 4.71565628 6.96663475 0.83557224 3.80226827
 6.57829094 3.51051402 5.33334875]","[ 3.76220989  6.17916584 -2.55903292 -2.92196465  3.75712299 -2.49335098
 -0.75670242 -2.42252636  0.67247725]",['Jimmy' 'liked' 'the' 'fact' 'they' 'were' 'calling' 'him' 'Jim']
119,"[ 9.17198563 14.77571818  2.44285655  4.95418739  0.74198592 10.89333445
  2.60907006  1.13665199  0.33123341  3.2243104 ]","[6.00220966 7.1732316  3.88494301 5.73370457 2.13960838 2.70550084
 4.43135834 2.4533124  1.01558113 4.01797104]","[ 3.16977596  7.32162333 -1.44208646 -0.77951717 -1.39762247  7.19560432
 -1.82228827 -1.3166604  -0.68434775 -0.79366064]","['Brian' 'sniffed' 'and' 'wiped' 'his' 'grubby' 'hand' 'across' 'his'
 'nose']"
120,"[ 8.49712753 14.48059464  5.77773237  2.247437    2.72378874  8.15986443
  6.03661251  2.7090199   1.2010231   0.67429733]","[6.00220966 4.75245142 3.6325531  5.10802174 3.69882011 6.105762
 5.71219778 3.09872723 2.89352798 1.79649842]","[ 2.49491787  9.72814369  2.14517927 -2.86058474 -0.97503138  2.05410242
  0.32441473 -0.38970733 -1.69250488 -1.12220109]",['Phil' 'let' 'him' 'go' 'and' 'Charlie' 'fell' 'to' 'the' 'ground']
121,"[ 6.77197266  1.96017349 11.21915722  4.56390572  6.78372431  3.92774749
  6.26198196  3.45329285  2.48828673  2.47815824]","[6.00220966 1.8997817  4.19940424 3.86191225 4.42988825 2.42109394
 3.91152334 2.91648889 3.51027155 4.75442457]","[ 0.76976299  0.06039178  7.01975298  0.70199347  0.70840597  1.50665355
  2.35045862  0.53680396 -1.02198482 -2.27626634]","['Let' 'me' 'through' 'and' ""you'll"" 'hear' 'nothing' 'more' 'of' 'it']"
122,"[9.15406036e+00 6.12241840e+00 1.57219112e+00 5.82179689e+00
 2.00762248e+00 4.10101318e+00 4.44594479e+00 7.86722600e-01
 1.93170772e-03 1.48461294e+00]","[6.00220966 4.88993454 4.93879318 6.75174522 4.1518321  6.11245155
 5.28792763 1.67528892 0.02163519 4.97305202]","[ 3.1518507   1.23248386 -3.36660194 -0.92994833 -2.14420962 -2.01143837
 -0.84198284 -0.88856632 -0.01970348 -3.48843908]",['Men' 'could' 'be' 'paid' 'to' 'do' 'all' 'sorts' 'of' 'things']
123,"[11.2141391   8.56452179  5.91162682  5.74836254  0.14700058  2.60191178
  0.533988   13.01328468  1.15930903  7.04488611]","[6.00220966 6.79661798 3.28814197 5.34704304 0.7896902  2.70147109
 2.18555498 3.28624296 2.93148637 6.2715044 ]","[ 4.22786236  1.7679038   2.62348485  0.4013195  -0.64268959 -0.09955931
 -1.65156698  9.72704124 -1.77217734  0.77338171]",['Gilbert' 'sat' 'as' 'still' 'as' 'he' 'could' 'nursing' 'his' 'lip']
124,"[11.53923941 11.95439053  1.91949928  5.06830454  0.19373399  4.33018446
  3.70539069  0.26182589  0.64513767  0.59827775]","[6.00220966 6.964849   2.74613738 5.3329258  1.06230474 5.5500679
 3.40083551 1.16515529 2.44805932 3.69036102]","[ 3.89649487  4.98954153 -0.8266381  -0.26462126 -0.86857074 -1.21988344
  0.30455518 -0.90332937 -1.80292165 -3.09208322]",['Jacques' 'sighed' 'and' 'tried' 'to' 'move' 'out' 'of' 'the' 'way']
125,"[ 9.77340698  9.01758194  1.78918374  7.5150795   2.27893639 13.40771961
  4.130723    0.81050032  0.47953099  4.58339977]","[6.00220966 6.54811811 4.31109762 5.78462315 3.11245251 5.34697247
 5.69898319 2.29288292 1.96341383 5.98524857]","[ 3.77119732  2.46946383 -2.52191401  1.73045635 -0.83351612  8.06074715
 -1.56826019 -1.48238254 -1.4838829  -1.40184879]",['Jamie' 'took' 'a' 'cigarette' 'and' 'Andy' 'gave' 'him' 'a' 'light']
126,"[9.27824402 8.9023695  1.67928243 0.61983114 3.11242557 1.96587586
 6.76698971 0.82637179 9.12443542 2.07062626]","[6.00220966 6.60358667 3.73893452 3.02819371 6.54258966 3.46135235
 5.30098629 2.31015277 5.99144316 4.56343174]","[ 3.27603436  2.29878283 -2.05965209 -2.40836263 -3.4301641  -1.49547648
  1.46600342 -1.48378098  3.13299227 -2.49280548]","['Joseph' 'walked' 'into' 'the' 'office' 'and' 'removed' 'his' 'flat'
 'cap']"
127,"[6.78607941 5.84977341 5.17595482 1.49179769 5.01472855 9.2215395
 0.81597126 3.15023971 0.76767695 3.10448098]","[6.00220966 5.32598066 4.89855051 4.14878321 6.59382248 3.63317919
 3.25148034 4.4819622  2.28130984 5.30638313]","[ 0.78386974  0.52379274  0.27740431 -2.65698552 -1.57909393  5.58836031
 -2.4355092  -1.3317225  -1.51363289 -2.20190215]",['She' 'would' 'soon' 'be' 'found' 'if' 'she' 'tried' 'to' 'hide']
128,"[2.12143683 9.18095303 7.65334177 2.75234938 1.44780421 6.02373505
 2.64322186 2.13695669 0.53056872 3.27481818]","[6.00220966 8.55645847 5.55235004 4.29934645 3.15524054 5.77568245
 3.50930476 2.9701345  1.84204984 6.4684782 ]","[-3.88077283  0.62449455  2.10099173 -1.54699707 -1.70743632  0.2480526
 -0.86608291 -0.8331778  -1.31148112 -3.19366002]",['The' 'brothers' 'stood' 'up' 'and' 'came' 'down' 'from' 'the' 'platform']
129,"[ 8.54918671  5.86342907 12.9550333   6.34113359  2.06341195  0.95023054
  1.83332074  6.24051154  3.99061632  1.21215296  4.96285677]","[6.00220966 6.31512594 6.18978786 5.79496241 3.70989418 4.20908737
 3.30589485 3.8073597  1.57741475 3.96904635 6.14964437]","[ 2.54697704 -0.45169687  0.62990618  0.54617119 -1.64648223 -3.25885677
 -1.47257411  2.18433094  2.41320157 -2.7568934  -1.18678761]","['Anthony' 'was' 'approached,' 'just' 'as' 'he' 'had' 'predicted,' 'in'
 'the' 'park']"
130,"[ 7.09976578  3.89865518  9.12256145  5.60158634  1.8124944   1.72362947
 13.04646587  9.42906284  4.40662527  5.11844587  5.95959377]","[6.00220966 5.60166168 5.07197094 6.40034294 3.60934973 4.01917171
 2.67755985 3.38786101 1.53694904 6.89263439 3.29312396]","[ 1.09755611 -1.70300651  4.05059052 -0.7987566  -1.79685533 -2.29554224
 10.36890602  6.04120159  2.86967611 -1.77418852  2.66646981]","['Despite' 'what' 'Frank' 'had' 'told' 'her' 'Ellen' 'thanked' 'the'
 'young' 'soldier']"
131,"[5.44237137 6.1456728  8.982584   5.6209054  4.38049126 7.44966078
 7.85255098 2.01136661 3.12293768 7.55721617 5.55373096]","[6.00220966 5.34631538 4.452775   2.51703024 5.10892487 4.93362713
 4.38035154 3.41534138 2.61066771 3.65580392 3.4120791 ]","[-0.55983829  0.79935741  4.529809    3.10387516 -0.72843361  2.51603365
  3.47219944 -1.40397477  0.51226997  3.90141225  2.14165187]","['He' 'called' 'earlier' 'and' 'I' 'already' 'arranged' 'to' 'go'
 'swimming' 'tomorrow']"
132,"[5.44237137 8.00479984 2.61805677 3.35836363 5.61148787 2.25141954
 4.01278257 3.117311   2.14777827 0.56181556 6.70633364]","[6.00220966 5.34631538 4.72212601 6.45792198 3.79339743 3.42162085
 5.71491385 3.3087616  2.16057801 2.80754042 6.55721998]","[-0.55983829  2.65848446 -2.10406923 -3.09955835  1.81809044 -1.1702013
 -1.70213127 -0.1914506  -0.01279974 -2.24572492  0.14911366]","['He' 'drove' 'his' 'truck' 'home' 'and' 'walked' 'down' 'to' 'the'
 'village']"
133,"[5.44237137 7.494874   2.32279897 5.66296196 6.25783157 1.95475364
 4.10358143 1.84697223 4.17490196 0.28439188 2.45830059]","[6.00220966 5.34631538 4.0287652  5.63739586 2.7319994  2.92189431
 5.81846666 4.95436573 3.70294189 1.09511828 3.83830547]","[-0.55983829  2.14855862 -1.70596623  0.0255661   3.52583218 -0.96714067
 -1.71488523 -3.1073935   0.47196007 -0.8107264  -1.38000488]","['He' 'held' 'his' 'mother' 'tight' 'and' 'she' 'cried' 'into' 'his'
 'chest']"
134,"[5.44237137 5.56912708 1.57483888 1.91654646 7.08621597 1.72254086
 4.2844162  2.01555824 2.85107803 0.85220021 1.66179538]","[6.00220966 5.34631538 3.62651157 6.12641239 7.61742687 3.39892292
 5.49684    3.21127653 3.84371567 2.01652145 4.66632462]","[-0.55983829  0.2228117  -2.0516727  -4.20986605 -0.5312109  -1.67638206
 -1.2124238  -1.19571829 -0.99263763 -1.16432118 -3.00452924]",['He' 'went' 'to' 'the' 'door' 'and' 'walked' 'out' 'of' 'the' 'room']
135,"[7.17255402 9.21061134 1.88015032 7.52516508 5.09888649 1.9145515
 3.71649837 1.15143752 5.36623764 1.86807513 1.44473243]","[6.00220966 7.72174931 5.08128214 6.29066849 3.30929112 4.79929161
 4.52544928 3.468853   3.83749819 4.28591681 5.3730154 ]","[ 1.17034435  1.48886204 -3.20113182  1.23449659  1.78959537 -2.88474011
 -0.8089509  -2.31741548  1.52873945 -2.41784167 -3.92828298]","['His' 'helmet' 'was' 'lost' 'but' 'he' 'could' 'still' 'do' 'some'
 'damage']"
136,"[ 8.75907516 10.67670059  8.6337738   2.16653395  2.59092912  6.16799641
  2.75873256  8.86985397  0.95999604  0.04073979  5.90785027]","[6.00220966 6.09757614 5.75699615 3.9957304  2.92046356 5.44307041
 4.33354998 6.70955658 1.54153776 0.32184678 6.02607107]","[ 2.7568655   4.57912445  2.87677765 -1.82919645 -0.32977343  0.72492599
 -1.57481742  2.16029739 -0.58154172 -0.28110701 -0.11822081]","['Ken' 'just' 'hoped' 'he' ""wasn't"" 'taking' 'his' 'temper' 'out' 'on'
 'Chris']"
137,"[1.07796078e+01 1.35428257e+01 1.86311793e+00 1.87936270e+00
 8.69086757e-03 6.73634186e-02 6.20402873e-01 1.55452049e+00
 8.18505096e+00 1.77367717e-01 3.06844953e-02]","[6.00220966 6.38355064 1.88167405 6.15378428 0.09524427 0.52130604
 1.63763547 2.52861643 5.1954937  0.94861853 0.27406377]","[ 2.17959499  7.15927505 -0.01855612 -4.27442169 -0.08655339 -0.45394263
 -1.01723266 -0.97409594  2.98955727 -0.77125084 -0.24337927]","['Lawrence' 'rubbed' 'the' 'back' 'of' 'his' 'neck' 'and' 'hung' 'his'
 'head']"
138,"[ 9.6529007  10.44826889  1.30267107  2.89214301 15.42895126  7.21245766
  2.03592777  3.00928879  0.34066597  0.28823119  3.43827081]","[6.00220966 4.88628769 3.33625793 2.1408596  5.52469015 6.19532585
 2.55882144 4.18550444 1.54118419 1.4453423  3.74868393]","[ 3.65069103  5.5619812  -2.03358698  0.75128341  9.90426064  1.01713181
 -0.52289367 -1.17621565 -1.20051825 -1.15711117 -0.31041312]",['Lewis' 'sat' 'down' 'and' 'Lucy' 'laid' 'her' 'hand' 'on' 'his' 'cheek']
139,"[ 9.12461472 11.63213921  6.26502895  0.59962237  1.21999168  3.1546936
  0.76385999  1.73402143  2.06951928  0.06276507  0.16443406]","[6.00220966 6.41072369 3.92715406 3.09899139 5.8781848  3.06231403
 3.1640141  4.73002052 3.49406099 0.28372654 0.53110886]","[ 3.12240505  5.22141552  2.33787489 -2.49936914 -4.65819311  0.09237957
 -2.40015411 -2.9959991  -1.42454171 -0.22096148 -0.36667478]","['Matthew' 'stood' 'against' 'the' 'wall' 'with' 'his' 'hands' 'behind'
 'his' 'back']"
